user_id,signup_date,region,plan_tier,device,signup_source,mobile_only_user,posts_first_week,comments_first_week,shares_first_week,sessions_per_week,profile_completeness,invites_sent,session_duration_avg,support_tickets,retention_30d
u_000000,2026-01-13 00:00:00+00:00,EU,pro,mobile,paid,1,0,1,0,1.9,0.4,0,31.5,0,0
u_000001,2025-12-21 00:00:00+00:00,US,free,both,organic,0,0,0,1,3.5,0.7,1,2.9,0,0
u_000002,2026-03-26 00:00:00+00:00,APAC,pro,web,organic,0,0,2,0,4.9,0.03,1,1.8,0,0
u_000003,2025-12-22 00:00:00+00:00,EU,free,web,direct,0,0,0,0,1.4,0.14,0,4.4,0,1
u_000004,2025-09-06 00:00:00+00:00,US,free,both,organic,0,0,0,0,2.7,0.61,1,10.3,0,0
u_000005,2025-06-07 00:00:00+00:00,Other,free,mobile,organic,1,2,2,0,5.6,0.58,0,23.1,0,0
u_000006,2026-03-23 00:00:00+00:00,EU,free,mobile,organic,1,0,4,0,2.6,0.13,0,7.5,0,0
u_000007,2025-08-31 00:00:00+00:00,EU,free,both,direct,0,1,2,0,1.5,0.47,0,2.0,0,0
u_000008,2025-10-08 00:00:00+00:00,US,free,both,referral,0,0,1,0,3.8,0.37,1,8.0,0,1
u_000009,2026-04-25 00:00:00+00:00,US,free,mobile,paid,1,1,2,1,1.0,0.22,1,14.7,0,0
u_000010,2026-03-20 00:00:00+00:00,US,free,both,direct,0,0,0,0,3.0,0.33,1,9.5,0,1
u_000011,2026-05-05 00:00:00+00:00,APAC,free,mobile,organic,1,0,1,0,0.9,0.25,0,11.0,0,0
u_000012,2026-02-15 00:00:00+00:00,EU,pro,mobile,direct,1,0,0,0,1.2,0.29,1,1.7,0,0
u_000013,2025-06-11 00:00:00+00:00,APAC,free,web,organic,0,1,3,2,4.1,0.17,0,2.5,0,1
u_000014,2026-01-08 00:00:00+00:00,US,free,web,organic,0,1,3,0,3.8,0.3,2,6.6,0,1
u_000015,2025-08-03 00:00:00+00:00,US,free,web,organic,0,2,2,0,3.9,0.48,2,18.3,0,1
u_000016,2025-10-22 00:00:00+00:00,EU,free,both,direct,0,4,0,1,7.7,0.1,1,3.9,0,1
u_000017,2026-05-09 00:00:00+00:00,US,free,mobile,direct,1,0,0,0,3.3,0.17,1,8.7,0,0
u_000018,2026-03-28 00:00:00+00:00,APAC,free,web,paid,0,2,2,0,2.3,0.07,0,8.4,0,0
u_000019,2025-07-14 00:00:00+00:00,EU,pro,mobile,organic,1,0,0,0,1.2,0.24,0,3.2,0,0
u_000020,2025-11-11 00:00:00+00:00,EU,free,web,organic,0,0,3,0,1.0,0.13,0,4.1,0,0
u_000021,2025-11-25 00:00:00+00:00,US,free,web,organic,0,1,2,0,4.4,0.06,0,7.2,0,1
u_000022,2025-12-24 00:00:00+00:00,Other,free,both,organic,0,0,3,0,1.4,0.13,0,5.5,0,0
u_000023,2025-08-25 00:00:00+00:00,APAC,pro,web,organic,0,0,3,0,0.8,0.44,1,14.2,1,0
u_000024,2026-03-11 00:00:00+00:00,EU,pro,web,paid,0,0,2,0,5.6,0.54,0,5.3,0,0
u_000025,2025-10-23 00:00:00+00:00,US,pro,mobile,paid,1,1,1,0,2.2,0.53,2,15.0,1,0
u_000026,2025-11-06 00:00:00+00:00,US,free,web,direct,0,0,0,0,1.3,0.48,0,5.5,1,0
u_000027,2025-09-16 00:00:00+00:00,US,free,mobile,paid,1,0,2,0,2.5,0.27,1,7.5,0,0
u_000028,2025-05-26 00:00:00+00:00,US,free,both,organic,0,1,2,0,8.0,0.21,0,14.0,0,1
u_000029,2026-01-24 00:00:00+00:00,EU,pro,mobile,paid,1,0,2,0,3.5,0.52,0,6.8,1,0
u_000030,2025-06-18 00:00:00+00:00,EU,free,mobile,organic,1,0,0,2,3.5,0.39,1,5.3,0,1
u_000031,2025-11-15 00:00:00+00:00,Other,free,web,paid,0,2,1,0,0.5,0.14,1,7.0,0,1
u_000032,2026-03-03 00:00:00+00:00,US,free,mobile,referral,1,0,0,1,5.2,0.63,0,15.1,0,0
u_000033,2026-03-12 00:00:00+00:00,US,free,web,organic,0,2,2,0,1.0,0.14,1,9.6,0,1
u_000034,2025-08-01 00:00:00+00:00,US,free,web,organic,0,2,1,0,3.3,0.54,1,1.3,0,1
u_000035,2025-12-30 00:00:00+00:00,US,free,both,direct,0,1,3,0,1.2,0.43,1,4.1,1,1
u_000036,2025-10-12 00:00:00+00:00,US,free,web,paid,0,0,0,1,2.5,0.43,0,4.2,0,0
u_000037,2026-04-19 00:00:00+00:00,US,pro,mobile,paid,1,0,3,1,2.4,0.16,2,11.8,0,0
u_000038,2025-08-04 00:00:00+00:00,US,free,web,referral,0,0,3,0,12.5,0.21,0,1.6,0,0
u_000039,2025-09-24 00:00:00+00:00,EU,pro,both,paid,0,0,0,0,1.7,0.18,0,9.2,0,1
u_000040,2026-03-14 00:00:00+00:00,US,free,web,organic,0,0,2,1,3.0,0.32,0,12.3,0,0
u_000041,2026-05-02 00:00:00+00:00,APAC,pro,web,referral,0,1,1,0,2.2,0.21,0,12.3,0,0
u_000042,2025-11-11 00:00:00+00:00,EU,free,both,direct,0,1,2,3,0.8,0.1,2,6.9,0,0
u_000043,2026-02-04 00:00:00+00:00,US,pro,mobile,organic,1,0,0,1,3.3,0.16,0,2.0,1,0
u_000044,2025-10-23 00:00:00+00:00,APAC,free,both,organic,0,0,1,0,4.6,0.24,0,6.0,0,0
u_000045,2026-04-16 00:00:00+00:00,APAC,free,web,referral,0,0,1,0,0.9,0.15,0,24.0,0,0
u_000046,2025-08-31 00:00:00+00:00,US,free,mobile,paid,1,0,1,0,2.0,0.48,1,4.6,0,0
u_000047,2025-09-23 00:00:00+00:00,US,free,both,organic,0,0,0,1,2.6,0.5,0,42.3,0,0
u_000048,2025-06-07 00:00:00+00:00,EU,free,mobile,paid,1,0,2,0,4.3,0.25,0,14.1,0,0
u_000049,2025-12-04 00:00:00+00:00,US,pro,mobile,referral,1,0,1,1,4.4,0.3,0,6.6,0,0
u_000050,2025-12-07 00:00:00+00:00,US,pro,web,paid,0,0,1,0,0.5,0.4,0,8.9,0,0
u_000051,2026-01-10 00:00:00+00:00,US,free,both,organic,0,0,1,0,8.5,0.55,0,10.0,0,0
u_000052,2025-10-11 00:00:00+00:00,EU,free,both,organic,0,0,1,0,3.5,0.31,0,4.7,1,1
u_000053,2025-12-01 00:00:00+00:00,EU,free,mobile,organic,1,0,1,0,2.5,0.2,1,5.3,1,1
u_000054,2025-08-03 00:00:00+00:00,EU,pro,both,direct,0,0,0,1,4.2,0.18,1,36.4,0,0
u_000055,2026-03-26 00:00:00+00:00,EU,pro,mobile,paid,1,1,0,0,6.2,0.6,0,24.4,0,0
u_000056,2026-04-04 00:00:00+00:00,US,free,mobile,organic,1,1,0,0,2.1,0.17,1,5.5,0,1
u_000057,2025-07-02 00:00:00+00:00,EU,enterprise,web,direct,0,0,2,1,1.9,0.16,0,4.0,0,0
u_000058,2025-06-02 00:00:00+00:00,US,free,mobile,organic,1,0,2,1,0.8,0.52,0,2.1,1,0
u_000059,2026-01-17 00:00:00+00:00,US,pro,both,paid,0,0,1,0,2.0,0.25,0,41.5,0,0
u_000060,2025-09-28 00:00:00+00:00,EU,enterprise,mobile,organic,1,0,2,0,3.7,0.38,1,16.8,0,0
u_000061,2025-09-21 00:00:00+00:00,US,pro,web,referral,0,0,4,0,2.0,0.37,0,20.0,0,0
u_000062,2025-11-10 00:00:00+00:00,EU,free,mobile,referral,1,0,2,0,1.9,0.1,1,4.8,0,0
u_000063,2025-06-12 00:00:00+00:00,EU,free,both,referral,0,1,0,0,7.3,0.22,0,4.5,0,1
u_000064,2025-06-26 00:00:00+00:00,EU,free,both,organic,0,0,0,0,3.0,0.13,0,3.5,2,0
u_000065,2026-04-08 00:00:00+00:00,EU,pro,web,organic,0,1,0,0,3.0,0.15,3,0.6,0,1
u_000066,2025-12-06 00:00:00+00:00,EU,free,web,organic,0,0,2,0,3.7,0.16,0,3.7,1,0
u_000067,2025-09-18 00:00:00+00:00,US,free,web,direct,0,0,1,0,4.8,0.1,2,9.5,0,1
u_000068,2025-07-20 00:00:00+00:00,US,pro,web,organic,0,0,2,0,2.6,0.59,0,9.0,0,0
u_000069,2026-05-21 00:00:00+00:00,US,free,both,paid,0,2,2,2,1.2,0.28,0,4.5,1,0
u_000070,2025-12-17 00:00:00+00:00,US,free,web,referral,0,0,2,0,3.5,0.48,0,12.5,0,1
u_000071,2025-06-11 00:00:00+00:00,US,free,mobile,organic,1,0,1,1,5.2,0.25,0,4.3,1,0
u_000072,2025-12-03 00:00:00+00:00,APAC,free,web,organic,0,0,2,0,3.5,0.51,2,13.7,0,0
u_000073,2026-01-20 00:00:00+00:00,US,free,web,organic,0,0,3,0,4.2,0.05,0,13.5,0,0
u_000074,2026-04-26 00:00:00+00:00,US,free,both,paid,0,0,1,0,1.9,0.06,0,14.2,0,1
u_000075,2026-02-06 00:00:00+00:00,US,free,mobile,direct,1,1,2,0,1.4,0.27,0,7.8,1,1
u_000076,2025-10-15 00:00:00+00:00,US,free,web,organic,0,2,3,0,2.9,0.28,0,3.8,0,1
u_000077,2026-01-31 00:00:00+00:00,EU,free,web,direct,0,2,2,0,1.6,0.42,0,2.8,0,0
u_000078,2026-03-12 00:00:00+00:00,EU,free,both,organic,0,0,0,0,6.3,0.26,3,1.3,0,1
u_000079,2025-05-27 00:00:00+00:00,EU,free,both,organic,0,0,2,0,3.6,0.27,1,13.5,0,0
u_000080,2026-05-08 00:00:00+00:00,EU,free,web,direct,0,3,1,0,1.7,0.26,1,1.9,0,1
u_000081,2026-02-04 00:00:00+00:00,US,free,mobile,direct,1,1,2,0,1.0,0.27,0,6.6,0,1
u_000082,2025-10-29 00:00:00+00:00,APAC,pro,web,organic,0,0,2,0,5.1,0.07,0,8.8,0,0
u_000083,2025-06-25 00:00:00+00:00,US,free,mobile,paid,1,0,3,0,1.1,0.41,1,3.1,0,0
u_000084,2025-08-28 00:00:00+00:00,US,free,web,direct,0,2,0,1,2.5,0.46,0,6.7,1,1
u_000085,2025-06-29 00:00:00+00:00,US,pro,both,referral,0,0,2,0,3.0,0.16,1,9.5,0,0
u_000086,2025-12-13 00:00:00+00:00,EU,free,both,paid,0,0,1,0,1.1,0.31,0,5.9,0,0
u_000087,2025-07-15 00:00:00+00:00,US,free,web,organic,0,0,2,0,2.2,0.14,1,10.7,0,1
u_000088,2026-01-28 00:00:00+00:00,US,free,mobile,organic,1,1,2,2,5.7,0.25,0,5.2,1,1
u_000089,2026-03-27 00:00:00+00:00,US,free,web,paid,0,0,1,0,0.7,0.35,2,5.9,0,0
u_000090,2025-07-01 00:00:00+00:00,US,free,web,paid,0,0,0,0,5.1,0.4,0,3.6,0,0
u_000091,2025-09-25 00:00:00+00:00,EU,pro,web,organic,0,1,1,0,2.9,0.59,0,6.6,1,1
u_000092,2026-04-29 00:00:00+00:00,US,pro,web,organic,0,0,0,0,1.5,0.3,0,7.4,2,1
